year,month,day,hour,doy,index,tto,tts,psi,LST_Day_1km,Emis_31,Emis_32
2020,2,19,11,50,1187.0,33.0,55.41031863773881,76.1255679077266,-1.42999999999995,0.992,0.99
2020,2,21,11,52,1235.0,14.0,54.73357940985849,75.87195129356712,-6.269999999999982,0.994,0.99
2020,3,5,10,65,1546.0,37.0,54.762709398258444,56.08039969865948,6.7900000000000205,0.982,0.984
2020,3,9,11,69,1643.0,60.0,48.585265552803754,73.31605852555174,9.970000000000027,0.98,0.984
2020,3,14,10,74,1762.0,44.0,51.71651747047588,53.72459020836504,8.250000000000057,0.98,0.984
2020,3,26,10,86,2050.0,8.0,47.65881749227333,50.20812559509193,4.330000000000041,0.994,0.99
2020,4,7,11,98,2339.0,32.0,37.695682193170114,67.28066725578967,15.350000000000023,0.982,0.984
2020,4,11,10,102,2434.0,9.0,42.554557351328185,44.98345773936052,9.190000000000055,0.98,0.984
2020,4,14,11,105,2507.0,40.0,35.25005106172849,65.53296494733058,5.850000000000023,0.982,0.984
2020,4,15,10,106,2530.0,44.0,41.3757255092377,43.61372804937659,7.3700000000000045,0.98,0.984
2020,4,17,10,108,2578.0,56.0,40.80481629144676,42.923928353747556,6.730000000000018,0.98,0.984
2020,4,22,10,113,2698.0,37.0,39.43652576464763,41.19348567963013,4.390000000000043,0.982,0.984
2020,5,7,11,128,3059.0,46.0,28.425190761051624,59.35742601239656,13.510000000000048,0.98,0.984
2020,5,15,10,136,3250.0,29.0,34.422641133893954,33.662838917443,23.53000000000003,0.982,0.984
2020,5,30,11,151,3611.0,51.0,24.15177890141111,53.90992886626651,18.890000000000043,0.98,0.984
2020,6,6,10,158,3778.0,64.0,31.866173643161765,28.79750908931568,23.690000000000055,0.98,0.982
2020,6,7,10,159,3802.0,20.0,31.803751583597567,28.66669686197031,18.77000000000004,0.98,0.984
2020,6,13,11,165,3947.0,60.0,23.01081677183649,52.120695624211066,18.090000000000032,0.98,0.984
