year,month,day,doy,index,tto,tts,psi,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
2020,6,25,177,541,37.35,26.11,32.709999999999994,0.0376,0.4723,0.0235,0.0635,0.434,0.22340000000000002,0.08
2020,7,2,184,548,29.080000000000002,25.78,34.790000000000006,0.0309,0.45740000000000003,0.016800000000000002,0.054,0.4219,0.22760000000000002,0.0824
2020,7,4,186,550,44.480000000000004,27.69,31.58999999999999,0.0233,0.44480000000000003,0.011300000000000001,0.0478,0.4055,0.2084,0.0688
2020,7,5,187,551,23.01,22.48,224.57,0.0256,0.37260000000000004,0.0102,0.041100000000000005,0.34190000000000004,0.17850000000000002,0.065
2020,7,16,198,562,8.91,25.93,35.41,0.0291,0.4238,0.015600000000000001,0.0489,0.40690000000000004,0.2227,0.0848
2020,7,18,200,564,29.080000000000002,27.78,36.95,0.0334,0.4232,0.017,0.0539,0.41700000000000004,0.23620000000000002,0.08850000000000001
2020,7,19,201,565,39.65,23.43,230.64999999999998,0.0207,0.32370000000000004,0.0111,0.0354,0.2953,0.1519,0.0506
2020,7,26,208,572,46.08,24.41,233.46000000000004,0.0176,0.328,0.011600000000000001,0.0313,0.29600000000000004,0.1406,0.042800000000000005
2020,7,27,209,573,37.35,30.16,36.61999999999999,0.029900000000000003,0.4413,0.0162,0.0521,0.42110000000000003,0.2232,0.0761
2020,7,29,211,575,50.49,32.2,34.41,0.028300000000000002,0.4378,0.0151,0.0511,0.41240000000000004,0.2172,0.0746
2020,8,1,214,578,8.98,28.95,41.290000000000006,0.0263,0.4026,0.013900000000000001,0.0458,0.3895,0.2099,0.0743
2020,8,8,221,585,2.16,29.95,236.51000000000002,0.022600000000000002,0.35850000000000004,0.012400000000000001,0.0393,0.35150000000000003,0.186,0.064
2020,8,10,223,587,19.51,31.720000000000002,43.389999999999986,0.0302,0.3995,0.014,0.0476,0.4037,0.2303,0.0844
2020,8,17,230,594,8.98,32.910000000000004,48.519999999999996,0.027600000000000003,0.38120000000000004,0.0149,0.0444,0.3805,0.20450000000000002,0.07590000000000001
2020,8,20,233,597,39.660000000000004,31.45,237.75,0.0251,0.32220000000000004,0.012700000000000001,0.0375,0.3058,0.1555,0.055600000000000004
2020,8,21,234,598,44.480000000000004,36.64,43.81999999999999,0.0292,0.42300000000000004,0.0155,0.0497,0.41200000000000003,0.21630000000000002,0.0737
2020,8,23,236,600,55.59,38.65,42.39,0.0286,0.41140000000000004,0.0171,0.048600000000000004,0.4005,0.2013,0.077
2020,8,25,238,602,56.26,32.33,243.16000000000003,0.028,0.30920000000000003,0.016800000000000002,0.0437,0.28250000000000003,0.14,0.0408
2020,8,26,239,603,19.52,36.07,48.499999999999986,0.030600000000000002,0.3977,0.0159,0.0492,0.39830000000000004,0.21150000000000002,0.07680000000000001
2020,9,4,248,612,29.0,39.37,50.3,0.0316,0.3763,0.0162,0.0497,0.37920000000000004,0.21400000000000002,0.0796
2020,9,6,250,614,44.480000000000004,41.2,49.72000000000001,0.028,0.40440000000000004,0.0146,0.0483,0.40090000000000003,0.2126,0.0721
2020,9,16,260,624,12.99,41.58,242.68,0.0285,0.30870000000000003,0.0151,0.044000000000000004,0.31020000000000003,0.1612,0.054700000000000006
2020,9,19,263,627,51.620000000000005,41.56,246.56,0.0212,0.29350000000000004,0.0105,0.033100000000000004,0.2894,0.1409,0.0446
2020,9,21,265,629,39.65,42.61,244.56,0.0241,0.2942,0.0125,0.034,0.2988,0.152,0.053000000000000005
2020,9,25,269,633,2.14,45.15,236.22,0.0303,0.318,0.015600000000000001,0.041,0.32480000000000003,0.1734,0.0621
2020,9,29,273,637,37.34,48.19,57.610000000000014,0.041,0.3528,0.019200000000000002,0.050100000000000006,0.37060000000000004,0.2034,0.06960000000000001
2020,10,8,282,646,44.480000000000004,51.76,59.05,0.048,0.3373,0.0245,0.0543,0.3604,0.199,0.07540000000000001
2020,10,9,283,647,23.1,49.72,245.74,0.0362,0.2636,0.019200000000000002,0.0402,0.2884,0.15960000000000002,0.061000000000000006
2020,10,14,288,652,46.18,51.13,249.66,0.042100000000000005,0.2533,0.0206,0.0412,0.2713,0.14930000000000002,0.0523
2020,10,15,289,653,37.34,53.71,61.39,0.0608,0.2842,0.0317,0.058100000000000006,0.3356,0.1993,0.0876
2020,11,5,310,674,8.8,59.52,65.07000000000001,0.049800000000000004,0.203,0.0222,0.041100000000000005,0.2712,0.19990000000000002,0.1022
2020,11,7,312,676,28.900000000000002,60.69,64.01,0.057,0.2209,0.027100000000000003,0.0468,0.29100000000000004,0.22310000000000002,0.1148
2020,11,8,313,677,39.75,59.51,250.07,0.0393,0.1812,0.0183,0.030600000000000002,0.2363,0.18480000000000002,0.0961
2020,11,9,314,678,44.39,61.96,64.08,0.0585,0.23370000000000002,0.0264,0.0488,0.3104,0.2379,0.1279
2020,11,10,315,679,23.19,60.33,249.66,0.0443,0.1831,0.0195,0.0357,0.24860000000000002,0.191,0.09620000000000001
2020,12,3,338,702,32.08,65.13,248.98000000000002,0.039900000000000005,0.1708,0.0173,0.0316,0.2242,0.1668,0.0893
2020,12,27,362,726,44.39,69.06,61.08000000000001,0.058600000000000006,0.2323,0.025400000000000002,0.048100000000000004,0.29710000000000003,0.21880000000000002,0.12190000000000001
2021,1,10,10,740,28.900000000000002,67.3,60.27000000000001,0.08410000000000001,0.2363,0.0437,0.0693,0.2437,0.1593,0.09000000000000001
2021,1,19,19,749,37.25,66.39,58.390000000000015,0.0712,0.2479,0.0324,0.058600000000000006,0.2912,0.21280000000000002,0.1255
2021,3,13,72,802,8.71,48.26,53.66000000000001,0.0818,0.2204,0.037200000000000004,0.0627,0.26380000000000003,0.2154,0.1288
2021,3,15,74,804,28.810000000000002,48.52,51.58000000000001,0.0855,0.2376,0.0366,0.0644,0.2975,0.2353,0.1472
2021,3,20,79,809,2.48,45.01,249.54,0.0718,0.21050000000000002,0.030000000000000002,0.0533,0.2748,0.227,0.1337
2021,3,21,80,810,56.36,42.38,242.24,0.0488,0.1689,0.023,0.041100000000000005,0.21250000000000002,0.1718,0.0906
2021,3,22,81,811,19.25,45.22,50.609999999999985,0.07930000000000001,0.231,0.0346,0.0594,0.3134,0.2681,0.1585
2021,3,23,82,812,46.28,42.0,240.57999999999998,0.051500000000000004,0.1743,0.022000000000000002,0.0425,0.22760000000000002,0.18710000000000002,0.1043
2021,3,27,86,816,13.16,41.79,235.32000000000002,0.0659,0.1978,0.0291,0.0495,0.2692,0.22990000000000002,0.1364
2021,3,30,89,819,51.730000000000004,38.980000000000004,241.54000000000002,0.0476,0.1678,0.021400000000000002,0.0405,0.21830000000000002,0.1768,0.0965
2021,4,3,93,823,23.28,38.63,235.93,0.0637,0.19290000000000002,0.0281,0.0477,0.266,0.227,0.1316
2021,4,5,95,825,2.44,38.74,244.26,0.06960000000000001,0.2174,0.031200000000000002,0.0531,0.2987,0.25570000000000004,0.1517
2021,4,6,96,826,56.370000000000005,36.09,243.29000000000002,0.0465,0.1676,0.0198,0.040600000000000004,0.2152,0.1779,0.0937
2021,4,9,99,829,37.160000000000004,39.51,47.59000000000002,0.07150000000000001,0.23520000000000002,0.032600000000000004,0.0585,0.3119,0.25780000000000003,0.1489
2021,4,10,100,830,32.17,35.6,237.2,0.0611,0.193,0.027700000000000002,0.0475,0.261,0.2209,0.12340000000000001
2021,4,20,110,840,55.480000000000004,37.89,43.019999999999996,0.0687,0.2675,0.029900000000000003,0.058300000000000005,0.3304,0.25930000000000003,0.1451
2021,4,24,114,844,46.38,30.04,240.07,0.055,0.19410000000000002,0.025900000000000003,0.0472,0.2497,0.2038,0.1105
2021,4,26,116,846,32.27,30.03,235.83,0.0585,0.1952,0.027100000000000003,0.0473,0.2591,0.21030000000000001,0.1188
2021,5,1,121,851,51.83,27.61,241.99,0.0427,0.18080000000000002,0.0193,0.0371,0.225,0.16970000000000002,0.0872
2021,5,9,129,859,19.150000000000002,28.97,44.33,0.07690000000000001,0.2644,0.0361,0.0679,0.32680000000000003,0.25,0.1373
2021,5,11,131,861,37.06,29.91,41.10000000000001,0.0685,0.268,0.0313,0.0646,0.3322,0.2523,0.1385
2021,5,20,140,870,44.29,29.0,37.31000000000002,0.042800000000000005,0.3503,0.023,0.07300000000000001,0.3524,0.2137,0.08650000000000001
2021,5,21,141,871,23.38,24.12,231.76999999999998,0.0506,0.34600000000000003,0.0229,0.0743,0.33540000000000003,0.2071,0.1017
2021,5,25,145,875,19.16,25.95,39.22000000000001,0.0381,0.40280000000000005,0.020300000000000002,0.0723,0.378,0.2083,0.0819
2021,5,26,146,876,46.28,22.03,237.17000000000002,0.0245,0.33540000000000003,0.014700000000000001,0.05,0.30110000000000003,0.15,0.0489
2021,6,6,157,887,23.29,22.11,228.17,0.0238,0.3532,0.0126,0.0448,0.32180000000000003,0.16790000000000002,0.0563
2021,6,7,158,888,55.480000000000004,29.01,30.80000000000001,0.022600000000000002,0.4484,0.011600000000000001,0.0524,0.40280000000000005,0.2036,0.06910000000000001
2021,6,20,171,901,39.84,20.66,228.88,0.0166,0.36560000000000004,0.0085,0.035300000000000005,0.31970000000000004,0.1502,0.044500000000000005
2021,7,6,187,917,39.85,21.71,228.21000000000004,0.0189,0.35300000000000004,0.01,0.0385,0.3034,0.1426,0.0443
2021,7,15,196,926,32.17,23.47,226.01,0.014100000000000001,0.3191,0.0068000000000000005,0.0291,0.29000000000000004,0.1406,0.043500000000000004
2021,7,22,203,933,39.75,24.2,229.61,0.015000000000000001,0.3254,0.0089,0.029300000000000003,0.2995,0.1468,0.0449
2021,7,23,204,934,44.39,30.67,33.040000000000006,0.0262,0.4213,0.014,0.048400000000000006,0.4038,0.2162,0.0726
2021,7,24,205,935,23.29,25.650000000000002,226.43,0.0171,0.3377,0.009300000000000001,0.0333,0.3185,0.1587,0.0521
2021,7,26,207,937,2.4,27.32,237.19,0.0193,0.387,0.009600000000000001,0.039400000000000004,0.3608,0.18660000000000002,0.0631
2021,7,31,212,942,32.18,26.6,228.96000000000004,0.015600000000000001,0.32,0.009300000000000001,0.031,0.29660000000000003,0.1413,0.041800000000000004
2021,8,1,213,943,50.38,33.2,34.43000000000001,0.0181,0.389,0.0098,0.0393,0.37110000000000004,0.1899,0.0558
2021,8,6,218,948,28.8,31.82,39.57000000000001,0.0267,0.4052,0.014100000000000001,0.049100000000000005,0.40090000000000003,0.2175,0.0771
2021,8,11,223,953,2.42,30.990000000000002,234.76999999999998,0.020800000000000003,0.34700000000000003,0.0105,0.038200000000000005,0.3351,0.17400000000000002,0.0584
2021,8,25,237,967,23.29,33.94,234.32,0.0158,0.3008,0.008700000000000001,0.0304,0.29650000000000004,0.1511,0.0466
2021,9,8,251,981,39.85,37.92,241.07,0.0173,0.2886,0.0099,0.0297,0.2899,0.1456,0.0478
2021,9,13,256,986,56.47,39.160000000000004,245.94,0.015000000000000001,0.271,0.0071,0.026000000000000002,0.27090000000000003,0.1333,0.0392
2021,9,14,257,987,19.150000000000002,42.36,53.77000000000001,0.0233,0.333,0.0129,0.0408,0.3448,0.182,0.06430000000000001
2021,9,16,259,989,37.15,44.09,52.53999999999999,0.023,0.3554,0.0119,0.0425,0.3624,0.19390000000000002,0.061500000000000006
2021,9,19,262,992,13.35,42.800000000000004,241.86,0.0205,0.2929,0.010700000000000001,0.0337,0.30210000000000004,0.1568,0.051800000000000006
2021,9,21,264,994,8.540000000000001,44.29,54.969999999999985,0.020300000000000002,0.3201,0.0106,0.0363,0.3239,0.167,0.0548
2021,9,25,268,998,44.29,47.62,54.89,0.028200000000000003,0.34190000000000004,0.0142,0.0455,0.3548,0.19060000000000002,0.06670000000000001
2021,10,13,286,1016,55.480000000000004,54.72,57.459999999999994,0.0487,0.324,0.021400000000000002,0.054400000000000004,0.34950000000000003,0.1986,0.07
2021,10,19,292,1022,32.27,53.19,246.93,0.0308,0.2225,0.0162,0.034300000000000004,0.2582,0.1511,0.0575
2021,10,20,293,1023,50.38,56.52,59.89999999999999,0.0499,0.3017,0.025,0.055,0.35100000000000003,0.21450000000000002,0.09040000000000001
2021,11,5,309,1039,50.28,61.49,61.55000000000001,0.06380000000000001,0.26230000000000003,0.029,0.0562,0.324,0.2149,0.0974
2021,11,6,310,1040,13.43,59.46,246.62,0.0449,0.19490000000000002,0.0207,0.0371,0.2524,0.1696,0.0777
2021,11,8,312,1042,8.44,60.550000000000004,65.03999999999999,0.049100000000000005,0.20140000000000002,0.0233,0.0405,0.26780000000000004,0.18730000000000002,0.09040000000000001
2021,11,13,317,1047,23.46,61.230000000000004,246.91000000000003,0.0403,0.1749,0.019200000000000002,0.0309,0.2301,0.1524,0.07150000000000001
2021,11,18,322,1052,46.37,62.07,248.73000000000002,0.028800000000000003,0.16970000000000002,0.016800000000000002,0.0195,0.2338,0.1681,0.083
2021,11,20,324,1054,32.36,62.78,248.15,0.037200000000000004,0.16790000000000002,0.0164,0.0285,0.2233,0.1678,0.0858
2021,11,24,328,1058,8.44,64.55,63.8,0.045200000000000004,0.18180000000000002,0.0199,0.036500000000000005,0.2525,0.1899,0.1
2021,12,12,346,1076,28.62,67.98,62.489999999999995,0.0458,0.182,0.0211,0.0386,0.2464,0.1811,0.09720000000000001
2021,12,17,351,1081,2.62,67.38,253.61,0.0419,0.1683,0.0181,0.0304,0.2323,0.1786,0.0954
