year,month,day,hour,doy,wind_u
2019,6,15,14,166,1.9641619584197882
2019,6,15,15,166,1.9422349432588155
2019,6,15,16,166,1.9550182626205914
2019,6,15,17,166,1.9639799772416593
2019,6,15,18,166,1.988514244753436
2019,6,15,19,166,1.9482628313393975
2019,6,15,20,166,1.9106049358476245
2019,6,15,21,166,1.9074063400458776
2019,6,15,22,166,1.9254537606567594
2019,6,15,23,166,1.9414890874868194
2019,6,16,0,167,1.9619568196156263
2019,6,16,1,167,1.9862522606756023
2019,6,16,2,167,2.0030853288965798
2019,6,16,3,167,2.010851003699127
2019,6,16,4,167,2.0007180475332875
2019,6,16,5,167,2.014081264988892
2019,6,16,6,167,2.0204120735211184
2019,6,16,7,167,2.016906742148689
2019,6,16,8,167,2.00553005717635
2019,6,16,9,167,2.0124796780165957
2019,6,16,10,167,2.0216439754585993
2019,6,16,11,167,2.031848274350456
2019,6,16,12,167,2.0500696643894862
2019,6,16,13,167,2.061727905146855
2019,6,16,14,167,2.0653434934594923
2019,6,16,15,167,2.059948533627372
2019,6,16,16,167,2.071998968621882
2019,6,16,17,167,2.098577376914403
2019,6,16,18,167,2.1523358377717914
2019,6,16,19,167,2.1617240827013458
2019,6,16,20,167,2.147177415320048
2019,6,16,21,167,2.123306978520943
2019,6,16,22,167,2.1244515142324456
2019,6,16,23,167,2.1549140952179036
2019,6,17,0,168,2.1845613852648675
2019,6,17,1,168,2.1697495671104043
2019,6,17,2,168,2.1915075724979785
2019,6,17,3,168,2.194348691645833
2019,6,17,4,168,2.1883074506486166
2019,6,17,5,168,2.1857654368333685
2019,6,17,6,168,2.191503375867037
2019,6,17,7,168,2.2065048054377057
2019,6,17,8,168,2.209275726395254
2019,6,17,9,168,2.1989138630871143
2019,6,17,10,168,2.19215843180592
2019,6,17,11,168,2.2053589105900455
2019,6,17,12,168,2.239043192691926
2019,6,17,13,168,2.2738332632025764
2019,6,17,14,168,2.3156299190496137
2019,6,17,15,168,2.2941394250401093
2019,6,17,16,168,2.287471932252749
2019,6,17,17,168,2.328905269544866
2019,6,17,18,168,2.316099440980764
2019,6,17,19,168,2.3026809042991037
2019,6,17,20,168,2.3098701146149576
